VENTRICULAR SEPTAL DEFECT,"A ventricular septal defect (VSD), the most common type of congenital disorder, is an abnormal opening between the right and left ventricles that allows blood to shunt between them. The septum may be entirely absent, resulting in a single ventricle. A large, untreated defect can cause right ventricular hypertrophy, pulmonary hypertension, and heart failure.  increasing pulmonary vascular resistance."
VENTRICULAR SEPTAL DEFECT,"children, heart failure with dusky skin; liver, heart, and spleen enlargement because of systemic venous congestion; diaphoresis; feeding difficulties; rapid, grunting respirations; and increased heart rate. They may also develop severe pulmonary hypertension. poor feeding, sweating, heavy breathing, heart murmur"
ATRIAL SEPTAL DEFECT,"An atrial septal defect (ASD) is an abnormal opening between the left and the right atria. A small opening may cause few symptoms. However, if the opening is large, higher pressure in the left atrium can shunt large amounts of blood into the right atrium, which can result in right heart volume overload, right atrial and ventricular enlargement, and pulmonary hypertension."
ATRIAL SEPTAL DEFECT,"children, feeling tired after extreme exertion, respiratory tract infections, heart murmur, Sensations of rapid, fluttering, or pounding heartbeat"
MYOCARDITIS,"Myocarditis is focal or diffuse inflammation of the cardiac muscle (myocardium). It may be acute or chronic and can occur at any age. In many cases, myocarditis fails to produce specific cardiovascular symptoms or electrocardiogram (ECG) abnormalities, and recovery is usually spontaneous, without residual defects"
MYOCARDITIS,"it may produce mild, continuous pressure or soreness in the chest (unlike the recurring, stress-related pain of angina pectoris). Although myocarditis is usually self-limiting, it may induce myofibril degeneration that results in right- and left-sided heart failure, with cardiomegaly, JVD, dyspnea, persistent fever with resting or exertional tachycardia disproportionate to the degree of fever, and supraventricular and ventricular arrhythmias."
ENDOCARDITIS,"Endocarditis (also known as infective or bacterial endocarditis) is an infection of the endocardium, heart valves, or cardiac prostheses resulting from bacterial or fungal invasion. Most cases of endocarditis occur in I.V. drug abusers, patients with prosthetic heart valves, and those with MVP (especially males with a systolic murmur). Other predisposing conditions include coarctation of the aorta, tetralogy of Fallot, subaortic and valvular aortic stenosis, VSDs, PS, Marfan syndrome, degenerative heart disease (especially calcific aortic stenosis), and, rarely, syphilitic aortic valve"
ENDOCARDITIS,"The invasion of bacteria or fungi produces vegetative growths on the heart valves, endocardial lining of a heart chamber, or endothelium of a blood vessel that may embolize to the spleen, kidneys, central nervous system, and lungs. In endocarditis, fibrin and platelets aggregate on the valve tissue and engulf circulating bacteria or fungi that flourish and produce friable verrucous vegetations. (See Degenerative changes in endocarditis.) Such vegetations may cover the valve surfaces, causing ulceration and necrosis; they may also extend to the chordae tendineae, leading to their rupture and subsequent valvular insufficiency"
ENDOCARDITIS,"malaise, weight loss, anorexia, arthralgia, night sweats, chills, valvular insufficiency, interminnent fever, heavy heart murmur, pain in upper left quadrant, shoulder, abdominal rigidity, hematuria, flank pain, decreased urine output, numbness, tingling in arm, leg, finger, toe, peripheral gangrene"
PERICARDITIS,"Pericarditis is an inflammation of the pericardium, the fibroserous sac that envelops, supports, and protects the heart. Common causes of this disease include: bacterial, fungal, or viral infection (infectious pericarditis) neoplasms (primary or metastatic from lungs, breasts, or other organs) high-dose radiation to the chest uremia hypersensitivity or autoimmune disease, such as acute rheumatic fever (most common cause of pericarditis in children), systemic lupus erythematosus (SLE), and rheumatoid arthritis postcardiac injury such as MI, which later causes an autoimmune reaction (Dressler syndrome) in the pericardium; trauma; or surgery that leaves the pericardium intact but causes blood to leak into the pericardial cavity drugs, such as hydralazine or procainamide idiopathic factors (most common in acute pericarditis)"
